Filename,WordNum,WordID,Syllable_01,Syllable_02,Syllable_03
SEQ_03.wav,59,BI_GU_KI,BI,KU,GI
SEQ_03.wav,60,MO_DA_NE,MO,DA,NE
SEQ_03.wav,61,MU_NA_TU,MU,NA,TU
SEQ_03.wav,62,LE_KI_BI,LE,KI,BI
SEQ_03.wav,63,MO_DA_NE,MO,DA,NE
SEQ_03.wav,64,LE_KI_BI,LE,KI,BI
SEQ_03.wav,65,GU-BI-LE,GU,BI,LE
SEQ_03.wav,66,MU_NA_TU,MU,NA,TU
SEQ_03.wav,67,LO_DO_GI,LO,DO,GI
SEQ_03.wav,68,BA_TE_KU,BA,TE,KU
SEQ_03.wav,69,GU-BI-LE,GU,BI,LE
SEQ_03.wav,70,MO_DA_NE,MO,DA,NE
SEQ_03.wav,71,GU-BI-LE,GU,BI,LE
SEQ_03.wav,72,BI_GU_KI,BI,KU,GI
SEQ_03.wav,73,BA_TE_KU,BA,TE,KU
SEQ_03.wav,74,LO_DO_GI,LO,DO,GI
SEQ_03.wav,75,MO_DA_NE,MO,DA,NE
SEQ_03.wav,76,LO_DO_GI,LO,DO,GI
SEQ_03.wav,77,GU-BI-LE,GU,BI,LE
SEQ_03.wav,78,KI_LE_GU,KI,LE,GU
SEQ_03.wav,79,MO_DA_NE,MO,DA,NE
SEQ_03.wav,80,MU_NA_TU,MU,NA,TU
SEQ_03.wav,81,KI_LE_GU,KI,LE,GU
SEQ_03.wav,82,BA_TE_KU,BA,TE,KU
SEQ_03.wav,83,MU_NA_TU,MU,NA,TU
SEQ_03.wav,84,LE_KI_BI,LE,KI,BI
SEQ_03.wav,85,BI_GU_KI,BI,KU,GI
SEQ_03.wav,86,BA_TE_KU,BA,TE,KU
SEQ_03.wav,87,MU_NA_TU,MU,NA,TU
SEQ_03.wav,88,MO_DA_NE,MO,DA,NE
SEQ_03.wav,89,KI_LE_GU,KI,LE,GU
SEQ_03.wav,90,LE_KI_BI,LE,KI,BI
SEQ_03.wav,91,BI_GU_KI,BI,KU,GI
SEQ_03.wav,92,LE_KI_BI,LE,KI,BI
SEQ_03.wav,93,BA_TE_KU,BA,TE,KU
SEQ_03.wav,94,KI_LE_GU,KI,LE,GU
SEQ_03.wav,95,LO_DO_GI,LO,DO,GI
SEQ_03.wav,96,LE_KI_BI,LE,KI,BI
SEQ_03.wav,97,BI_GU_KI,BI,KU,GI
SEQ_03.wav,98,KI_LE_GU,KI,LE,GU
SEQ_03.wav,99,GU-BI-LE,GU,BI,LE
SEQ_03.wav,100,MU_NA_TU,MU,NA,TU
SEQ_03.wav,101,MO_DA_NE,MO,DA,NE
